name,location,cuisine,top_dishes,price_for_2,dining_rating,dining_rating_count,delivery_rating,delivery_rating_count,features,price_category,cuisine_list,has_dine_in,has_delivery
Adyar Bakery,Adyar,"['Bakery', ' Desserts', ' Street Food', ' Fast Food', ' Ice Cream', ' Beverages']","['Chocolate Mousse', ' Sandwich', ' Pizza', ' Apple Cake', ' Panipuri', ' Caramel Custard', ' Tiramisu']",300,3.5,117,4.2,130,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",Budget,"['Bakery', ' Desserts', ' Street Food', ' Fast Food', ' Ice Cream', ' Beverages']",1,1
Mattkaa - Chaat Cafe,Mylapore,"['Street Food', ' Fast Food', ' North Indian', ' Beverages']","['Chaat', ' Lassi', ' Paratha', ' Panipuri', ' Vada Pav', ' Thandai', ' Bhel Puri']",250,4.0,68,3.7,522,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']",Budget,"['Street Food', ' Fast Food', ' North Indian', ' Beverages']",1,1
Hot Dosai,"Omr Food Street, Navallur","['South Indian', ' Chinese', ' Chettinad']","['Masala Dosa', ' Filtered Coffee']",450,3.5,117,3.9,4732,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",Affordable,"['South Indian', ' Chinese', ' Chettinad']",1,1
Gogo Momo,Alwarpet,['Momos'],"['Chicken Momo', ' Cheese Momos', ' Veg Momos', ' Corn Momo', ' Veg Platter', ' Cheesy Chicken Momos', ' Cheesy Corn']",300,0.0,0,4.0,1097,['Home Delivery'],Budget,['Momos'],0,1
Sweet Truth,Porur,['Bakery'],"['Chocolate Fantasy', ' Pancakes', ' Cheesecake', ' Chocolate Decadence', ' Chocolava', ' Brownie', ' Red Velvet']",300,0.0,0,4.2,1017,"['Home Delivery', 'Desserts and Bakes']",Budget,['Bakery'],0,1
Steakout,Anna Nagar East,"['Cafe', ' North Indian', ' Chinese']","['Chicken Grill', ' Shawarma', ' Chicken Skewer', ' French Fries', ' Steak']",350,3.8,111,4.2,2179,"['Home Delivery', 'Outdoor Seating', 'Indoor Seating', 'Wifi']",Affordable,"['Cafe', ' North Indian', ' Chinese']",1,1
Aaram Restaurant,Valasaravakkam,['South Indian'],['Rice'],500,3.8,100,3.9,558,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",Affordable,['South Indian'],1,1
Igloo,Nungambakkam,"['Ice Cream', ' Desserts']",['Pizza'],250,2.4,87,3.1,34,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",Budget,"['Ice Cream', ' Desserts']",1,1
Wok To Dhaba,"Hotel Mamallaa Heritage, East Coast Road (Ecr)","['Chinese', ' North Indian', ' Arabian', ' Asian', ' Biryani', ' Juices', ' Grill']","['Butter Chicken', ' Momos', ' Malai Tikka', ' Fish Tikka', ' Chicken Tikka', ' Paneer Tikka']",800,3.4,86,0.0,0,"['Table reservation required', 'Free Parking', 'Table booking for Groups', 'Indoor Seating']",Mid Range,"['Chinese', ' North Indian', ' Arabian', ' Asian', ' Biryani', ' Juices', ' Grill']",1,0
AFC,Vepery,['Fast Food'],Invalid,350,3.8,95,4.0,170,"['Home Delivery', 'Indoor Seating']",Affordable,['Fast Food'],1,1
Kanji Kadai,"Omr Food Street, Kandanchavadi","['South Indian', ' Kerala']","['Fish Curry', ' Ghee Rice']",300,4.0,91,0.0,0,"['Home Delivery', 'Indoor Seating']",Budget,"['South Indian', ' Kerala']",1,0
Hot Spice Kitchen,Valasaravakkam,"['North Indian', ' Chinese', ' Chettinad']","['Fried Rice', ' Noodles']",500,3.8,129,0.0,0,"['Home Delivery', 'Indoor Seating']",Affordable,"['North Indian', ' Chinese', ' Chettinad']",1,0
Madras Hotel,Ramapuram,"['Biryani', ' North Indian', ' Chinese', ' Hyderabadi']","['Mongolian Rice', ' Biryani', ' Naan', ' Chicken Grill']",400,3.7,108,3.8,3946,"['Home Delivery', 'Free Parking', 'Indoor Seating']",Affordable,"['Biryani', ' North Indian', ' Chinese', ' Hyderabadi']",1,1
Olala Halal Food Zone,Gst Road,"['North Indian', ' Chinese']",['Shawarma'],400,3.7,146,3.9,1126,"['Home Delivery', 'Free Parking', 'Indoor Seating']",Affordable,"['North Indian', ' Chinese']",1,1
Vaishno Thali,Thiruvanmiyur,"['North Indian', ' Street Food']","['Rajma', ' Litti Choka', ' Roti', ' Liti Chokha', ' Sattu Paratha', ' Thali']",250,0.0,0,3.7,3573,"['Home Delivery', 'Vegetarian Only']",Budget,"['North Indian', ' Street Food']",0,1
Asli Muslim Biryani,Ambattur,"['Biryani', ' Chinese']",Invalid,350,3.7,79,4.0,5994,"['Home Delivery', 'Indoor Seating']",Affordable,"['Biryani', ' Chinese']",1,1
Clay Pot Multi-Cuisine Restaurant,Navallur,"['Chinese', ' Biryani', ' North Indian', ' Kebab', ' Hyderabadi']","['Chicken Biryani', ' Noodle']",400,3.8,139,3.3,3323,"['Home Delivery', 'Indoor Seating']",Affordable,"['Chinese', ' Biryani', ' North Indian', ' Kebab', ' Hyderabadi']",1,1
