Name,location,cuisine,top dishes,price for 2,dining rating,dining rating count,delivery rating,delivery rating count,Features,has_dine_in,has_delivery,price category,cuisine_list
Sangeetha Veg Restaurant,Vandalur,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Coffee', ' Rava Dosa', ' Idli', ' Masala Dosa', ' Naan', ' Vada']",650,3.0,218,3.8,5403,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Serves Jain Food', 'Table reservation required']",1,1,Mid Range,Chettinad
Sangeetha Veg Restaurant,Vandalur,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Coffee', ' Rava Dosa', ' Idli', ' Masala Dosa', ' Naan', ' Vada']",650,3.0,218,3.8,5403,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Serves Jain Food', 'Table reservation required']",1,1,Mid Range,Mughlai
Sangeetha Veg Restaurant,Muttukadu,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Pongal', ' Vada', ' Masala Dosa', ' Filtered Coffee', ' Rava Dosa', ' Ghee Dosa', ' Carrot Halwa']",650,3.5,170,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table reservation required', 'Catering Available', 'Serves Jain Food']",1,0,Mid Range,South Indian
Sangeetha Veg Restaurant,Muttukadu,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Pongal', ' Vada', ' Masala Dosa', ' Filtered Coffee', ' Rava Dosa', ' Ghee Dosa', ' Carrot Halwa']",650,3.5,170,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table reservation required', 'Catering Available', 'Serves Jain Food']",1,0,Mid Range,North Indian
Sangeetha Veg Restaurant,Muttukadu,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Pongal', ' Vada', ' Masala Dosa', ' Filtered Coffee', ' Rava Dosa', ' Ghee Dosa', ' Carrot Halwa']",650,3.5,170,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table reservation required', 'Catering Available', 'Serves Jain Food']",1,0,Mid Range,Chinese
Sangeetha Veg Restaurant,Muttukadu,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Pongal', ' Vada', ' Masala Dosa', ' Filtered Coffee', ' Rava Dosa', ' Ghee Dosa', ' Carrot Halwa']",650,3.5,170,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table reservation required', 'Catering Available', 'Serves Jain Food']",1,0,Mid Range,Fast Food
Sangeetha Veg Restaurant,Muttukadu,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Pongal', ' Vada', ' Masala Dosa', ' Filtered Coffee', ' Rava Dosa', ' Ghee Dosa', ' Carrot Halwa']",650,3.5,170,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table reservation required', 'Catering Available', 'Serves Jain Food']",1,0,Mid Range,Chettinad
Sangeetha Veg Restaurant,Muttukadu,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Pongal', ' Vada', ' Masala Dosa', ' Filtered Coffee', ' Rava Dosa', ' Ghee Dosa', ' Carrot Halwa']",650,3.5,170,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table reservation required', 'Catering Available', 'Serves Jain Food']",1,0,Mid Range,Mughlai
Sangeetha Veg Restaurant,Parrys,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Vada Sambar', ' Butter Naan', ' Panneer Butter Masala', ' Tomato Soup']",650,4.1,206,4.1,1529,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,1,Mid Range,South Indian
Sangeetha Veg Restaurant,Parrys,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Vada Sambar', ' Butter Naan', ' Panneer Butter Masala', ' Tomato Soup']",650,4.1,206,4.1,1529,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,1,Mid Range,North Indian
